case_id,canonical_source_group,raw_shape,finite_ok,label_range_ok,label_min_ns,label_max_ns,visible_fraction_ge_0_60,strong_fraction_ge_0_80,median_envelope_support,median_signed_support,median_abs_peak_offset_ns,p90_abs_peak_offset_ns,median_local_contrast,soft_center_offset_median_ns,soft_center_offset_p90_abs_ns,soft_target_semantics,curve_training_contract_ok,visible_mask_center_offset_median_ns,visible_mask_center_offset_p90_abs_ns,automatic_signal_grade,raw_sha256,label_sha256,canonical_case_path,case_local_scene_world,case_local_design_metrics,case_local_gprmax_input,paired_component_truth,physical_copy_count,duplicate_case_paths,historic_visual_decision,historic_local_review_trace_range,label_semantic_decision,development_decision,line9_conditioned,formal_training_allowed,formal_decision,negative_semantics
B003_MEDDEPTH_013,batch3,5937x128,True,True,282.30889892578125,307.06939697265625,1.0,1.0,1.0,1.0,1.8543853759765625,3.4074188232421876,8.13803213360248,-0.005798339843721578,0.6240960693358488,VISIBLE_PHASE_CENTERED,True,-0.00579833984375,0.6240960693359227,SUPPORTED,e8c1818b9131667188c8e6db59fe9b3f120241622e253310ac619cb430bc771a,ec6875a9fe0885f72f5250afdc1746ee0e05b8ee7402aa32e1e40d94c7558159,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_013,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_013,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_MEDDEPTH_014,batch3,5937x128,True,True,292.3556213378906,318.8811950683594,1.0,1.0,1.0,1.0,2.4364013671875,3.9180145263671875,6.416611302849102,0.054608154296971634,0.6208264160157455,VISIBLE_PHASE_CENTERED,True,0.05460815429685795,0.6208264160156431,SUPPORTED,82719e1886c5ca324136edb8a25867c19ec09f7392a5c48167417a37b55af728,95c11a8b7bd00682e270902732c47efb1c202b11f4a3b39d18982dfc7a6ad2df,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_014,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_014,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_MEDDEPTH_015,batch3,5937x128,True,True,301.0514831542969,323.95318603515625,1.0,1.0,1.0,1.0,2.6557159423828125,3.905950927734375,5.800315228213261,-0.05516662597665345,0.6046081542968977,VISIBLE_PHASE_CENTERED,True,-0.055166625976568184,0.6046081542968409,SUPPORTED,c5f0e924a580e8f642944ee0eff39f277feec0798ff254882918db45b54c2bc9,a3d5a81c28fa7e1997c18da67ba9a41fda25a05f13300d23b98eb7f44bd5be03,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_015,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_015,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_MEDDEPTH_016,batch3,5937x128,True,True,295.06829833984375,321.58489990234375,1.0,1.0,1.0,1.0,2.4372100830078125,3.843951416015625,6.873553785864068,-0.005603027343852318,0.6135839843749125,VISIBLE_PHASE_CENTERED,True,-0.005603027343767053,0.6135839843749921,SUPPORTED,141488f3fc9a696146cbb3182d9d005547689e88e983e523ff2271d178be863b,b4b39e4ea8b93dcd0893f4b2b4a9f4623545342dc2ad22b89553b7ffaff62898,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_016,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_016,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_MEDDEPTH_017,batch3,5937x128,True,True,301.666015625,331.6680908203125,1.0,1.0,1.0,1.0,2.8614349365234375,4.1732543945312495,5.963335814927135,0.1441650390623579,0.6612066650389863,VISIBLE_PHASE_CENTERED,True,0.14416503906247158,0.6612066650390318,SUPPORTED,355399fd4bf168c7295f987dfffb00ce132b2572402e6bb2d26d3d921c442fdc,be489b798042359e7b747fe7a4261541fdff3d18caa2b87af8c809c90f25807c,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_017,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_017,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_MEDDEPTH_018,batch3,5937x128,True,True,314.6253967285156,336.18798828125,1.0,1.0,1.0,1.0,2.678466796875,4.445462036132812,5.274689511054376,0.06418457031230673,0.6095581054687387,VISIBLE_PHASE_CENTERED,True,0.06418457031247726,0.6095581054687841,SUPPORTED,4a0651a76887845ad79dd17ac1d4bb24a9f559bea303b803ccf8ae35663a6109,50804f5b1674d97c699c6435ca6c71a3c12364ff20e85b42a33531b7caa982ef,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_018,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_018,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_MEDDEPTH_019,batch3,5937x128,True,True,300.7692565917969,334.498291015625,1.0,1.0,1.0,1.0,2.6917877197265625,3.8132965087890627,5.517713831881273,-0.026641845703181843,0.6100909423826123,VISIBLE_PHASE_CENTERED,True,-0.026641845703125,0.6100909423827886,SUPPORTED,039b6d07bbfc63019a5ceb4aeddb2f2ec90464dfbd1a83c6b1f0d0049d90be7d,394c951b87c75f36e4b01d9336d280bedbe2b54704fa13f871a638d981586d0e,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_019,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_019,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_MEDDEPTH_020,batch3,5937x128,True,True,299.89593505859375,323.4252624511719,1.0,1.0,1.0,1.0,1.9670257568359375,3.6060211181640622,7.126598928758291,0.006655883789107975,0.6605993652344295,VISIBLE_PHASE_CENTERED,True,0.006655883789051131,0.6605993652344069,SUPPORTED,40038be717b297c957c9d8d6e4aaa29cdcc85dd42f62a5023629d86d26c98f9c,bc9e394b0916c79d981a257306a15d19ac7e711f4f06848534cdbb3e8cf75e61,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_020,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_MEDDEPTH_020,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_001,batch3,5937x128,True,True,360.744140625,377.25408935546875,1.0,1.0,1.0,1.0,1.2755889892578125,2.5580657958984374,6.926446749564763,-8.544921897168933e-05,0.6159130859374897,VISIBLE_PHASE_CENTERED,True,-8.544921877273737e-05,0.6159130859375238,SUPPORTED,d97331c2486bed71953524712e7f908bd081546d5e3d54c7c1b96437910e2b89,4eb216a3f1655b68647cdb783a5012ef3fc8342db37e7b6cb800063208b515c9,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_001,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_001,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_002,batch3,5937x128,True,True,366.4369201660156,391.2698974609375,1.0,1.0,1.0,1.0,0.9240264892578125,2.441833496093749,5.282133064862105,0.001287841796710154,0.618983764648226,VISIBLE_PHASE_CENTERED,True,0.0012878417968522626,0.618983764648425,SUPPORTED,9ab146324459ff4eb1f4f6e5da8af4c3c29e2a7d95882a51b6494ef481a2a166,5d405259fc3b4c62fb23a4d62a403d8b80a19e53502589d1e5c5c3b742a9d787,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_002,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_002,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_003,batch3,5937x128,True,True,377.5634765625,405.4499816894531,1.0,1.0,1.0,1.0,1.0267333984375,2.379931640625,4.663713014761246,0.008535766601568184,0.6434283447264818,VISIBLE_PHASE_CENTERED,True,0.008535766601539763,0.6434283447265727,SUPPORTED,853be3c05e3153499e9af126a9f697611d1df01d51d0ef1e871589f747deb35a,7deb0d0c951bcb638f311990d52837f0c4cede0fc125dac91af84f541c7984ff,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_003,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_003,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_004,batch3,5937x128,True,True,349.9056396484375,375.6571350097656,1.0,1.0,1.0,1.0,1.1309967041015625,3.1267639160156246,6.168467842561508,-0.039846801758017136,0.5682110595702398,VISIBLE_PHASE_CENTERED,True,-0.039846801757846606,0.5682110595703023,SUPPORTED,2afa075c4b588f8124161435586f330e535e644c981792c9d28d32f62e9750dc,d6f489e1cfad3f684ecd77bf59ca2e4280bf6c8dd7deb3a0ad1d21c16801820f,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_004,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_004,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_005,batch3,5937x128,True,True,377.3515930175781,404.48614501953125,1.0,1.0,1.0,1.0,1.2441558837890625,2.87015380859375,4.445073861356979,0.10698242187490337,0.634118041992383,VISIBLE_PHASE_CENTERED,True,0.10698242187498863,0.6341180419922068,SUPPORTED,f5a8b2db1890ee832fc7a3067fa63c26251c86709dc66cdba6f947e798a1bc94,fdbeb3ad96453840d603b4581e228d554001579e3d4cb853da3d28f968766a99,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_005,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_005,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_006,batch3,5937x128,True,True,393.1026916503906,422.7926330566406,1.0,1.0,1.0,1.0,0.9212493896484375,2.4525360107421874,4.162551966452823,0.048193359375005684,0.615289916992242,VISIBLE_PHASE_CENTERED,True,0.04819335937497726,0.6152899169922194,SUPPORTED,8284d39ecffd4b243b975cca0850de681d65d77be8ed887588a7ce58c1741205,5a6b9bf96cbd4a7c6fcc9a02f782f2ecc7a626a7872b5a83aa7ed137d38ed925,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_006,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_006,VISUAL_REVIEW_LOCAL_ARTIFACT,32-35,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_AFTER_LOCAL_IGNORE,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_007,batch3,5937x128,True,True,399.616455078125,436.81494140625,1.0,1.0,1.0,1.0,1.04241943359375,3.03629150390625,3.861197971742139,0.04743347167928391,0.6419024658202772,VISIBLE_PHASE_CENTERED,True,0.047433471679653394,0.6419024658203056,SUPPORTED,369857e5fa8ab81140d1592c6275835cf814e04af74d7da21ce16dd7998338d1,a7dd2267111f5aba4084c8416247e65d0e7b0fb97bdd21697baf7425eb25d375,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_007,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_007,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
B003_SHALLOW_DISTRACTOR_008,batch3,5937x128,True,True,378.2244567871094,393.3165283203125,1.0,1.0,1.0,1.0,1.7476959228515625,3.656036376953125,5.294374151702193,0.011300659179653394,0.6230767822266046,VISIBLE_PHASE_CENTERED,True,0.011300659179681816,0.623076782226559,SUPPORTED,06bf281e923807566c12da421d80ad853fba6b6dbe3325ac18c332b21a250d44,8a81d662f2470b9dd3ccd290e3dd54929e242761f96fece40d2e0712cb4116d1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_008,False,False,False,False,1,data\PGDA_SYNTH_DATASET_V1\03_runs\BATCH_003_SHALLOW_GENERALIZATION_24CASES_V3_AUDITED_20260704\B003_SHALLOW_DISTRACTOR_008,VISUAL_PASS,,VISIBLE_PHASE_DISTRIBUTION_OK,DEVELOPMENT_ONLY_SIGNAL_SUPPORTED,True,False,EXCLUDE_LINE9_HOLDOUT,not_a_negative_sample
